Designator,Value,Footprint,Mid X,Mid Y,Rotation,Side
Fid1,Fiducial,USER,35.53,16.654,0,Top
Fid2,Fiducial,USER,96.475,111.314,0,Top
Fid3,Fiducial,USER,35.44,111.314,0,Top
Fid4,Fiducial,USER,96.295,16.789,0,Top
C20,08051A220JATDA,SM0805,11.905,87.154,225,Top
C21,08051A220JATDA,SM0805,18.12,85.524,315,Top
C2,08055C103KATDA,C0805,103.515,22.359,90,Top
C7,08055C103KATDA,C0805,92.175,63.154,90,Top
C9,08055C103KATDA,C0805,92.16,67.852,270,Top
C11,08055C103KATDA,C0805,59.315,106.693,270,Top
C15,08055C103KATDA,C0805,30.494,83.256,135,Top
C17,08055C103KATDA,C0805,75.935,107.288,0,Top
C19,08055C103KATDA,C0805,38.584,91.111,135,Top
C24,08055C103KATDA,C0805,59.485,91.413,0,Top
C37,08055C103KATDA,C0805,21.04,18.659,90,Top
C5,08055C104KATDA,C0805,90.08,67.844,270,Top
C8,08055C104KATDA,C0805,57.175,106.693,270,Top
C10,08055C104KATDA,C0805,124.335,76.709,90,Top
C12,08055C104KATDA,C0805,90.075,63.164,90,Top
C14,08055C104KATDA,C0805,75.935,109.447,0,Top
C25,08055C104KATDA,C0805,59.485,89.113,0,Top
C27,08055C104KATDA,C0805,103.85,9.539,270,Top
C28,08055C104KATDA,C0805,107.665,16.369,270,Top
C32,08055C104KATDA,C0805,48.37,108.754,270,Top
C39,08055C104KATDA,C0805,38.72,8.289,180,Top
C40,08055C104KATDA,C0805,30.135,11.794,270,Top
C22,08055C222KATDA,C0805,53.365,95.574,0,Top
C23,08055C222KATDA,C0805,55.83,101.899,180,Top
C6,TCJA106M016R0200,CAPPM3216X180N,76.03,105.038,0,Top
C13,TCJA106M016R0200,CAPPM3216X180N,111.935,71.264,90,Top
C18,TCJA106M016R0200,CAPPM3216X180N,14.645,78.309,135,Top
C3,6TPE220MAZB,CAPPM3528X200N,118.415,41.864,0,Top
C4,6TPE220MAZB,CAPPM3528X200N,118.365,45.864,0,Top
C30,6TPE220MAZB,CAPPM3528X200N,10.715,48.564,180,Top
C31,6TPE220MAZB,CAPPM3528X200N,10.49,44.464,180,Top
C1,50SVPF68M,CAPAE1030X1270N,94.415,40.049,180,Top
C26,50SVPF68M,CAPAE1030X1270N,93.815,26.564,180,Top
C29,50SVPF68M,CAPAE1030X1270N,37.675,39.939,0,Top
C38,50SVPF68M,CAPAE1030X1270N,37.675,26.564,0,Top
R19,R 0.1W SMTF 0,SM0805,51.17,93.324,0,Top
R14,R 0.1W SMTF 1.0K,SM0805,15.34,90.004,135,Top
R15,R 0.1W SMTF 1.0K,SM0805,16.855,91.544,135,Top
R16,R 0.1W SMTF 1.0K,SM0805,120.035,84.014,180,Top
R17,R 0.1W SMTF 1.0K,SM0805,91.115,57.444,90,Top
R18,R 0.1W SMTF 1.0K,SM0805,87.485,74.739,90,Top
R23,R 0.1W SMTF 1.0K,SM0805,6.37,61.999,0,Top
R26,R 0.1W SMTF 1.0K,SM0805,50.405,109.094,90,Top
R25,R 0.1W SMTF 1M,SM0805,41.24,109.099,90,Top
R9,R 0.1W SMTF 2.7K,SM0805,26.355,70.314,315,Top
R2,R 0.1W SMTF 3.3K,SM0805,110.015,16.464,90,Top
R21,R 0.1W SMTF 3.3K,SM0805,28.075,11.814,90,Top
R1,R 0.1W SMTF 10K,SM0805,113.11,18.464,90,Top
R3,R 0.1W SMTF 10K,SM0805,29.34,73.364,135,Top
R4,R 0.1W SMTF 10K,SM0805,27.835,71.884,135,Top
R5,R 0.1W SMTF 10K,SM0805,124.385,72.214,90,Top
R20,R 0.1W SMTF 10K,SM0805,25.715,11.814,270,Top
R27,R 0.1W SMTF 27,SM0805,46.305,108.979,90,Top
R28,R 0.1W SMTF 27,SM0805,43.865,109.009,90,Top
R10,R 0.1W SMTF 47,SM0805,32.145,85.004,135,Top
R11,R 0.1W SMTF 47,SM0805,33.745,86.579,135,Top
R12,R 0.1W SMTF 47,SM0805,36.93,89.689,135,Top
R13,R 0.1W SMTF 47,SM0805,35.355,88.114,135,Top
R6,R 0.1W SMTF 100,SM0805,80.775,97.574,180,Top
R7,R 0.1W SMTF 100,SM0805,80.775,95.324,180,Top
R8,R 0.1W SMTF 100,SM0805,80.575,92.924,180,Top
R22,R 0.1W SMTF 100K,SM0805,89.055,107.594,270,Top
R24,R 0.1W SMTF 100K,SM0805,84.555,107.649,270,Top
FL1,BLM21BB050SH1D_250_100Mhz_0805,BLM21BB050SH1D,40.504,93.047,315,Top
FL2,BLM21BB050SH1D_250_100Mhz_0805,BLM21BB050SH1D,117.75,69.619,90,Top
FL3,BLM21BB050SH1D_250_100Mhz_0805,BLM21BB050SH1D,105.325,69.419,90,Top
3V,LG_R971,LEDC2012X90N,87.475,70.804,90,Top
5V,LG_R971,LEDC2012X90N,88.38,57.399,270,Top
5VB,LG_R971,LEDC2012X90N,5.36,58.289,90,Top
Y3,ABM3B-8.000MHZ-10-1-U-T,ABM3B,55.875,98.578,0,Top
Y1,ABM3B-25.000MHZ-10-1-U-T,ABM3B,14.821,83.91,315,Top
C16,EEEFK1C101AP,FKV(D),116.74,60.738,270,Top
D3,1N4007F,SODFL4626X110N,64.515,113.275,90,Top
F1,RKEF075,RKEF075,91.42,9.349,0,Top
F3,RKEF075,RKEF075,40.45,3.889,180,Top
L1,RLF12560T-100M7R5-PF,INDPM125128X600N,108.215,47.014,90,Top
L2,RLF12560T-100M7R5-PF,INDPM125128X600N,20.665,38.589,180,Top
F2,RUEF300,RUEF300,96.375,53.959,90,Top
F4,RUEF300,RUEF300,9.735,53.234,180,Top
D1,SBRD10200TR,SMC_DPAK,111.866,33.864,180,Top
D2,SBRD10200TR,SMC_DPAK,22.189,27.139,0,Top
D4,SMBJ6.5CA-Q,DIONM5436X244N,122.66,54.314,90,Top
D7,SMBJ6.5CA-Q,DIONM5436X244N,9.375,39.879,180,Top
D5,SMBJ36CA,DIONM5336X245N,99.845,8.679,90,Top
D8,SMBJ36CA,DIONM5336X245N,37.415,49.929,180,Top
IC1,TPS5450DDAR,SOIC127P600X170-9N,108.065,23.864,90,Top
IC5,TPS5450DDAR,SOIC127P600X170-9N,25.715,17.689,90,Top
USB,USB3140-30-0140-1-C,USB31403001401C,45.287,115.098,202,Top
TVS_USB,USBLC62P6,USBLC62P6,45.093,105.063,180,Top
ENC28J60,ENC28J60_SS,SOP65P780X200-28N,23.86,78.829,45,Top
LM117,LM1117IMPX3.3_NOPB,SOT230P700X180-4N,97.89,64.659,0,Top
PIC32MZ,PIC32MZ2048EFH064-250I_PT,QFP50P1200X1200X120-64N,66.85,98.924,180,Top
